SORRO  AA-579-PJ;Start;Destination;Fuel Cost (CFA);Road Fees (CFA)+Police;Total Expense;Tonnage (T);Total Gross (CFA);Total Net ;COMMENTAIRE;KM;;;;
26/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
27/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
28/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
29/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
;;;;;0CFA;;;0;;;;;;
;TOTAL;;3 110 900CFA;444 300CFA;3 555 200CFA;1 242,68;9941440;6376140;;;;;;
;;;$5 184,83;$740,50;$5 925,33;;$16 569,07;$10 626,90;;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 02/06/2025 TRIP                ON 01/07/2025   32466KM                  Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
AUGUST;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
jeudi 14 août 25;ABIDJAN;LAUZOUA;243 775CFA;45 450CFA;289 225CFA;;0CFA;-289 225CFA;10K Police document 10Kwashing 5K mechanic;;;;;
vendredi 15 août 25;LAUZOUA;ABIDJAN;141 400CFA;63 000CFA;204 400CFA;61,48;491 840CFA;287 440CFA;24K Pompe 15K Transport mecanics + work;36 611km;;;;
samedi 16 août 25;LAUZOUA;ABIDJAN;0CFA;23 300CFA;23 300CFA;53,24;425 920CFA;402 620CFA;;;;;;
dimanche 17 août 25;LAUZOUA;ABIDJAN;247 450CFA;23 300CFA;270 750CFA;52,52;420 160CFA;149 410CFA;;37 220km;;;;
lundi 18 août 25;LAUZOUA;ABIDJAN;107 060CFA;56 000CFA;163 060CFA;55,30;442 400CFA;279 340CFA;30K side mioir broken 3K transport;37 372km;;;;
mardi 19 août 25;LAUZOUA;ABIDJAN;;;0CFA;0,00;0CFA;0CFA;;;;;;
mercredi 20 août 25;LAUZOUA;ABIDJAN;141 400CFA;;141 400CFA;0,00;0CFA;-141 400CFA;;;;;;
jeudi 21 août 25;LAUZOUA;ABIDJAN;0CFA;25 500CFA;25 500CFA;0,00;0CFA;-25 500CFA;2K Tire;37 758km;;;;
vendredi 22 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;62,54;500 320CFA;335 620CFA;;38 184km;;;;
samedi 23 août 25;LAUZOUA;ABIDJAN;141 400CFA;33 300CFA;174 700CFA;63,34;506 720CFA;332 020CFA;10K Police documents;38 565km;;;;
dimanche 24 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;65,10;520 800CFA;356 100CFA;;38 946km;;;;
lundi 25 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;56,26;450 080CFA;285 380CFA;;39 306km;;;;
mardi 26 août 25;LAUZOUA;ABIDJAN;0CFA;23 300CFA;23 300CFA;56,06;448 480CFA;425 180CFA;;39 703km;;;;
mercredi 27 août 25;LAUZOUA;ABIDJAN;151 500CFA;23 300CFA;174 800CFA;65,06;520 480CFA;345 680CFA;;39 913km;;;;
jeudi 28 août 25;LAUZOUA;ABIDJAN;141 400CFA;23 300CFA;164 700CFA;59,60;476 800CFA;312 100CFA;;400 061km;;;;
vendredi 29 août 25;LAUZOUA;ABIDJAN;140 000CFA;23 300CFA;163 300CFA;58,80;470 400CFA;307 100CFA;;40 432km;;;;
samedi 30 août 25;LAUZOUA;ABIDJAN;140 000CFA;33 300CFA;173 300CFA;53,52;428 160CFA;254 860CFA;10K Police;40 814km;;;;
dimanche 31 août 25;LAUZOUA;ABIDJAN;101 000CFA;23 300CFA;124 300CFA;56,14;449 120CFA;324 820CFA;;41 195km;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;2 120 585CFA;489 550CFA;2 610 135CFA;818,96;6 551 680CFA;3 941 545CFA;;;;;;
;;;$3 534,31;$815,92;$4 350,23;;10 919CFA;$6 569,24;;;;;;
;;;;;;;;;;;;;;
;;;;FROM 14/08/2025 TRIP 14    31/08//2025                                       Total distance  4584Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
lundi 1 septembre 25;LAUZOUA;ABIDJAN;180 000CFA;23 300CFA;203 300CFA;56,28;450 240CFA;246 940CFA;;;;;;
mardi 2 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;23 300CFA;158 300CFA;53,14;425 120CFA;266 820CFA;;41 956km;;;;
mercredi 3 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;23 300CFA;158 300CFA;55,48;443 840CFA;285 540CFA;;42 336km;;;;
jeudi 4 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;23 300CFA;158 300CFA;62,00;496 000CFA;337 700CFA;;42 716km;;;;
vendredi 5 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;23 300CFA;158 300CFA;52,16;417 280CFA;258 980CFA;;;;;;
samedi 6 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;23 300CFA;158 300CFA;50,50;404 000CFA;245 700CFA;;;;;;
dimanche 7 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;37 370CFA;172 370CFA;54,98;439 840CFA;267 470CFA;10K Police documents + 5K Vegas Vest for drivers;;;;;
lundi 8 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;54,56;436 480CFA;279 280CFA;;44 247km;;;;
mardi 9 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;54,88;439 040CFA;281 840CFA;;44 990km;;;;
mercredi 10 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;55,64;445 120CFA;287 920CFA;;45 371km;;;;
jeudi 11 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;56,74;453 920CFA;296 720CFA;;45 767km;;;;
vendredi 12 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;55,78;446 240CFA;289 040CFA;;46 131km;;;;
samedi 13 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;22 200CFA;157 200CFA;52,18;417 440CFA;260 240CFA;;46 511km;;;;
dimanche 14 septembre 25;LAUZOUA;ABIDJAN;135 000CFA;33 300CFA;168 300CFA;64,16;513 280CFA;344 980CFA;10K Police document;46 877km;;;;
