AMARA AA-672-PS-09;Start;Destination;Fuel Cost (CFA);Road Fees (CFA);Total Expense;Tonnage (T);Total Gross (CFA);Total Net (€);;;;;;
06/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;52,24;417920;256 320CFA;;39 855KM;;;;
07/07/2025;LAUZOUA;SAN PEDRO;0CFA;5 050CFA;5 050CFA;0,00;0;-5 050CFA;;;;;;
08/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;54,22;433760;272 160CFA;;40 250KM;;;;
09/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;53,46;427680;266 080CFA;;40 641KM;;;;
10/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;52,54;420320;258 720CFA;;41 040KM;;;;
11/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;30 300CFA;171 700CFA;60,14;481120;309 420CFA;10K Police;41 415KM;;;;
12/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;30 300CFA;313 100CFA;108,16;865280;552 180CFA;2 trips 53,56+54,6;41 800KM/42 197KM;;;;
13/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;53,34;426720;265 120CFA;;42 586Km;;;;
14/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;51,96;415680;254 080CFA;;42 972Km;;;;
15/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;57,56;460480;298 880CFA;;43 361Km;;;;
16/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;40 400CFA;323 200CFA;111,26;890080;566 880CFA;54,34+56,92     10K Police;;;;;
17/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;30 300CFA;313 100CFA;112,80;902400;589 300CFA;56+56,8;44 916KM;;;;
18/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;161 600CFA;0,00;0;-161 600CFA;;;;;;
19/07/2025;LAUZOUA;SAN PEDRO;;5 050CFA;5 050CFA;0,00;0;-5 050CFA;food;;;;;
20/07/2025;LAUZOUA;SAN PEDRO;;5 050CFA;5 050CFA;45,38;363040;357 990CFA;food;;;;;
21/07/2025;LAUZOUA;SAN PEDRO;20 000CFA;5 000CFA;25 000CFA;;0;-25 000CFA;;;;;;
22/07/2025;LAUZOUA;SAN PEDRO;;5 000CFA;5 000CFA;;0;-5 000CFA;;;;;;
23/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
24/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
25/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
26/07/2025;LAUZOUA;SAN PEDRO;;;0CFA;;0;0CFA;;;;;;
