BRAHIMA AA-736-PK;Start;Destination;Fuel Cost (CFA);Road Fees (CFA);;Total Expense;Tonnage (T);Total Gross (CFA);Total Net (€);COMMENTAIRE;;;;
dimanche 21 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;22 000CFA;;157 000CFA;56,20;449 600CFA;292 600CFA;Tire probleme;52 101km;;;
lundi 22 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;54,38;435 040CFA;279 840CFA;;52 481km;;;
mardi 23 septembre 2025;LAUZOUA;ABIDJAN;135 000CFA;20 200CFA;;155 200CFA;58,60;468 800CFA;313 600CFA;;52 858km;;;
mercredi 24 septembre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;56,26;450 080CFA;299 930CFA;;53 243km;;;
jeudi 25 septembre 2025;LAUZOUA;SAN PEDRO;170 000CFA;15 150CFA;;185 150CFA;58,02;464 160CFA;279 010CFA;;53 635km;;;
vendredi 26 septembre 2025;LAUZOUA;SAN PEDRO;180 000CFA;15 150CFA;;195 150CFA;57,00;456 000CFA;260 850CFA;;54 038km;;;
samedi 27 septembre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;58,96;471 680CFA;321 530CFA;;54 419km;;;
dimanche 28 septembre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;56,96;455 680CFA;305 530CFA;;54 806km;;;
lundi 29 septembre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;59,12;472 960CFA;322 810CFA;;55 193km;;;
mardi 30 septembre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;56,94;455 520CFA;305 370CFA;;55 580km;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;3 460 000CFA;731 290CFA;;4 191 290CFA;1 457,06;11 656 480CFA;7 465 190CFA;;;;;
;;;$5 766,67;$1 218,82;;$6 985,48;;$19 427,47;$12 441,98;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 01/09/2025 to 30/09/2025   Total 26                 Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
mercredi 1 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;64,70;517 600CFA;367 450CFA;;55 967km;;;
jeudi 2 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;62,14;497 120CFA;346 970CFA;;56 354km;;;
vendredi 3 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;60,62;484 960CFA;334 810CFA;;56 741km;;;
samedi 4 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;58,14;465 120CFA;314 970CFA;;57 128km;;;
dimanche 5 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;5 050CFA;;140 050CFA;0,00;0CFA;-140 050CFA;No transport minning close till 09/10;;;;
lundi 6 octobre 2025;LAUZOUA;SAN PEDRO;;;;;;;;;;;;
mardi 7 octobre 2025;LAUZOUA;SAN PEDRO;;;;;;;;;;;;
mercredi 8 octobre 2025;LAUZOUA;SAN PEDRO;;;;;;;;;;;;
jeudi 9 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;61,32;490 560CFA;340 410CFA;;57 516km;;;
vendredi 10 octobre 2025;LAUZOUA;SAN PEDRO;0CFA;5 000CFA;;5 000CFA;0,00;0CFA;-5 000CFA;No transport minning machine problem;57 904km;;;
samedi 11 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;25 250CFA;;160 250CFA;118,98;951 840CFA;791 590CFA;54,9 + 64,88 2 trips;58 291km;;;
dimanche 12 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;58,84;470 720CFA;320 570CFA;;58 679km;;;
lundi 13 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;5 050CFA;;140 050CFA;0,00;0CFA;-140 050CFA;;;;;
mardi 14 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;53,00;424 000CFA;273 850CFA;;59 066km;;;
mercredi 15 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;10 010CFA;;145 010CFA;50,88;407 040CFA;262 030CFA;No transport minning close Till 20/10 10k for helpers food;;;;
jeudi 16 octobre 2025;;;;;;;;;;;;;;
vendredi 17 octobre 2025;;;;;;;;;;;;;;
samedi 18 octobre 2025;;;;;;;;;;;;;;
dimanche 19 octobre 2025;;;;;;;;;;;;;;
lundi 20 octobre 2025;;;;;;;;;;;;;;
mardi 21 octobre 2025;;;;;;;;;;;;;;
mercredi 22 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;56,50;452 000CFA;301 850CFA;;59 839km;;;
jeudi 23 octobre 2025;LAUZOUA;SAN PEDRO;135 000CFA;15 150CFA;;150 150CFA;55,36;442 880CFA;292 730CFA;;60 223km;;;
vendredi 24 octobre 2025;;;;;;;;;;;;;;
samedi 25 octobre 2025;;;;;;;;;;;;;;
dimanche 26 octobre 2025;;;;;;;;;;;;;;
lundi 27 octobre 2025;;;;;;;;;;;;;;
mardi 28 octobre 2025;;;;;;;;;;;;;;
mercredi 29 octobre 2025;;;;;;;;;;;;;;
jeudi 30 octobre 2025;;;;;;;;;;;;;;
vendredi 31 octobre 2025;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;1 755 000CFA;171 560CFA;;1 791 560CFA;635,78;5 086 240CFA;3 294 680CFA;;;;;
;;;$2 925,00;$285,93;;$2 985,93;;$8 477,07;$5 491,13;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 01/09/2025 TRIP                ON 30/09/2025   m                 Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
No Transport before 10 november;;;;;;;;;;;;;;
lundi 10 novembre 2025;Abidjan;Lauzoua;122 500CFA;35 350CFA;;157 850CFA;;0CFA;-157 850CFA;20K FOR WASHING TRUCKS;60 641km;;;
mardi 11 novembre 2025;Lauzoua;San Pedro;;15 150CFA;;15 150CFA;;0CFA;-15 150CFA;;;;;
mercredi 12 novembre 2025;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;53,56;428 480CFA;278 330CFA;;61 007km;;;
jeudi 13 novembre 2025;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;54,26;434 080CFA;283 930CFA;;61 395km;;;
vendredi 14 novembre 2025;Lauzoua;San Pedro;135 000CFA;19 190CFA;;154 190CFA;56,02;448 160CFA;293 970CFA;4040 TRUCKS BACK DOORS PROBLEME;61 778km;;;
samedi 15 novembre 2025;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;57,26;458 080CFA;307 930CFA;;62 156km;;;
dimanche 16 novembre 2025;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;55,84;446 720CFA;296 570CFA;;62 546km;;;
lundi 17 novembre 2025;Lauzoua;San Pedro;80 080CFA;15 150CFA;;95 230CFA;56,12;448 960CFA;353 730CFA;;62 935km;;;
mardi 18 novembre 2025;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;55,80;446 400CFA;296 250CFA;;63 317km;;;
mercredi 19 novembre 2025;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;59,56;476 480CFA;326 330CFA;;63 701km;;;
jeudi 20 novembre 2025;Lauzoua;San Pedro;236 250CFA;15 150CFA;;251 400CFA;61,76;494 080CFA;242 680CFA;MINNING STOP TILL 27/11 WEATHER PROBLEME;;;;
vendredi 21 novembre 2025;Lauzoua;San Pedro;;;;;;;;;;;;
samedi 22 novembre 2025;Lauzoua;San Pedro;;;;;;;;;;;;
dimanche 23 novembre 2025;Lauzoua;San Pedro;;;;;;;;;;;;
lundi 24 novembre 2025;Lauzoua;San Pedro;;;;;;;;;;;;
mardi 25 novembre 2025;Lauzoua;San Pedro;;;;;;;;;;;;
mercredi 26 novembre 2025;Lauzoua;San Pedro;;;;;;;;;;;;
jeudi 27 novembre 2025;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;62,62;500 960CFA;350 810CFA;;64 468km;;;
vendredi 28 novembre 2025;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;63,26;506 080CFA;355 930CFA;;64 845km;;;
samedi 29 novembre 2025;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;63,82;510 560CFA;360 410CFA;;65 235km;;;
dimanche 30 novembre 2025;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;55,68;445 440CFA;295 290CFA;;65 619km;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;TOTAL;;1 923 830CFA;251 490CFA;;2 175 320CFA;755,56;6 044 480CFA;3 869 160CFA;;;;;
;;;$3 206,38;$419,15;;$3 625,53;;$10 074,13;$6 448,60;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 01/09/2025 TRIP                ON 30/09/2025   m                 Total distance for Trip   Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
lundi 1 décembre 2025;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;57,08;456 640CFA;306 490CFA;Minning Close till 10 december;65 619km;;;
mardi 2 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
mercredi 3 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
jeudi 4 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
vendredi 5 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
samedi 6 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
dimanche 7 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
lundi 8 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
mardi 9 décembre 25;Lauzoua;San Pedro;;;;;;;;;;;;
mercredi 10 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;58,68;469 440CFA;319 290CFA;;66 389km;;;
jeudi 11 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;61,62;492 960CFA;342 810CFA;;66 768km;;;
vendredi 12 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;61,02;488 160CFA;338 010CFA;;67 153km;;;
samedi 13 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;55,20;441 600CFA;291 450CFA;;;;;
dimanche 14 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;57,46;459 680CFA;309 530CFA;;;;;
lundi 15 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;67,36;538 880CFA;388 730CFA;;68 698km;;;
mardi 16 décembre 25;Lauzoua;San Pedro;135 000CFA;27 650CFA;;162 650CFA;124,18;993 440CFA;830 790CFA;Brahima 2 trips;69 083km;;;
mercredi 17 décembre 25;Lauzoua;San Pedro;270 000CFA;15 150CFA;;285 150CFA;59,26;474 080CFA;188 930CFA;337CFA;69 406km;;;
jeudi 18 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;67,98;543 840CFA;393 690CFA;703CFA;69 851km;;;
vendredi 19 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;58,64;469 120CFA;318 970CFA;570CFA;70 230km;;;
samedi 20 décembre 25;Lauzoua;San Pedro;135 000CFA;17 250CFA;;152 250CFA;62,28;498 240CFA;345 990CFA;618CFA;70 622km;;;
dimanche 21 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;55,18;441 440CFA;291 290CFA;520CFA;71 002km;;;
lundi 22 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;64,56;516 480CFA;366 330CFA;654CFA;71 392km;;;
mardi 23 décembre 25;Lauzoua;San Pedro;135 000CFA;15 150CFA;;150 150CFA;53,34;426 720CFA;276 570CFA;494CFA;;;;
